path	level	type	required	default	constraints	authoring	runtime	obs_debug_gov
main_source.params.$import	nested	union<array|string>	optional			Y	N	N
main_source.params.$import[*]	nested	string	n/a			Y	N	N
main_source.params.<key>	nested	unknown	n/a			Y	N	N
main_source.retry	nested	object	optional			Y	Y	N
main_source.retry.$import	nested	union<array|string>	optional			Y	Y	N
main_source.retry.$import[*]	nested	string	n/a			Y	Y	N
main_source.retry.backoff	nested	enum<string>	optional	"exponential"	enum=fixed,exponential	Y	Y	N
main_source.retry.base_delay_seconds	nested	unknown	optional	0.2	minimum=0.0	Y	Y	N
main_source.retry.enabled	nested	boolean	optional	false		Y	Y	N
main_source.retry.jitter	nested	boolean	optional	true		Y	Y	N
main_source.retry.max_attempts	nested	integer	optional	3	minimum=1;maximum=5	Y	Y	N
main_source.retry.max_delay_seconds	nested	unknown	optional	2.0	minimum=0.0;maximum=5.0	Y	Y	N
main_source.retry.max_elapsed_seconds	nested	unknown	optional	10.0	minimum=1e-06;maximum=20.0	Y	Y	N
main_source.retry.should_retry	nested	string	optional		minLength=1	Y	Y	N
main_source.source_id	nested	string	conditional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
meta	top-level	union<boolean|object>	optional			N	N	Y
meta.$import	nested	union<array|string>	optional			N	N	Y
meta.$import[*]	nested	string	n/a			N	N	Y
meta.allow_formulas	nested	boolean	optional			N	N	Y
meta.path	nested	string	optional			N	N	Y
meta.sheet	nested	string	optional		minLength=1	N	N	Y
meta.write_lock	nested	boolean	optional			N	N	Y
name	top-level	string	conditional			Y	N	N
observability	top-level	object	optional			N	N	Y
observability.$import	nested	union<array|string>	optional			N	N	Y
observability.$import[*]	nested	string	n/a			N	N	Y
observability.logging	nested	object	optional			N	N	Y
observability.logging.$import	nested	union<array|string>	optional			N	N	Y
observability.logging.$import[*]	nested	string	n/a			N	N	Y
observability.logging.enabled	nested	boolean	optional	true		N	N	Y
observability.logging.renderer	nested	enum<string>	optional	"pretty"	enum=pretty,logger	N	N	Y
observability.memory_opt	nested	object	optional			N	N	Y
observability.memory_opt.$import	nested	union<array|string>	optional			N	N	Y
observability.memory_opt.$import[*]	nested	string	n/a			N	N	Y
observability.memory_opt.auto_report	nested	boolean	optional	false		N	N	Y
observability.memory_opt.enabled	nested	boolean	optional	false		N	N	Y
observability.memory_opt.max_fields	nested	integer	optional	0	minimum=0	N	N	Y
observability.performance	nested	object	optional			N	N	Y
observability.performance.$import	nested	union<array|string>	optional			N	N	Y
observability.performance.$import[*]	nested	string	n/a			N	N	Y
observability.performance.enabled	nested	boolean	optional	false		N	N	Y
observability.performance.metrics	nested	array	optional			N	N	Y
observability.performance.metrics[*]	nested	enum	n/a		enum=duration,memory,cpu	N	N	Y
observability.performance.report	nested	object	optional			N	N	Y
observability.performance.report.$import	nested	union<array|string>	optional			N	N	Y
observability.performance.report.$import[*]	nested	string	n/a			N	N	Y
observability.performance.report.format	nested	enum<string>	optional	"console"	enum=console,json,csv,none	N	N	Y
observability.performance.report.include_details	nested	boolean	optional	false		N	N	Y
observability.performance.report.output	nested	string	optional			N	N	Y
observability.performance.sampling_interval	nested	integer	optional	1	minimum=1	N	N	Y
observability.performance.thresholds	nested	object	optional			N	N	Y
observability.performance.thresholds.$import	nested	union<array|string>	optional			N	N	Y
observability.performance.thresholds.$import[*]	nested	string	n/a			N	N	Y
observability.performance.thresholds.batch_duration_warn	nested	unknown	optional			N	N	Y
observability.performance.thresholds.memory_increase_warn	nested	unknown	optional			N	N	Y
observability.relations	nested	object	optional			N	N	Y
observability.relations.$import	nested	union<array|string>	optional			N	N	Y
observability.relations.$import[*]	nested	string	n/a			N	N	Y
observability.relations.enabled	nested	boolean	optional	false		N	N	Y
observability.relations.log_type_mismatch	nested	boolean	optional	true		N	N	Y
observability.relations.max_samples	nested	integer	optional	1000	minimum=0	N	N	Y
observability.relations.report	nested	object	optional			N	N	Y
observability.relations.report.$import	nested	union<array|string>	optional			N	N	Y
observability.relations.report.$import[*]	nested	string	n/a			N	N	Y
observability.relations.report.format	nested	enum<string>	optional	"console"	enum=console,json,none	N	N	Y
observability.relations.report.output	nested	string	optional			N	N	Y
observability.relations.sampling_rate	nested	unknown	optional	0.01	minimum=0.0;maximum=1.0	N	N	Y
observability.row_gap	nested	object	optional			N	N	Y
observability.row_gap.$import	nested	union<array|string>	optional			N	N	Y
observability.row_gap.$import[*]	nested	string	n/a			N	N	Y
observability.row_gap.data_loader_names	nested	array	optional			N	N	Y
observability.row_gap.data_loader_names[*]	nested	string	n/a			N	N	Y
observability.row_gap.enabled	nested	boolean	optional	false		N	N	Y
observability.row_gap.primary_loader_name	nested	string	optional	"primary_keys"		N	N	Y
observability.row_gap.sample_limit	nested	integer	optional	5	minimum=0	N	N	Y
observability.trace	nested	object	optional			N	N	Y
observability.trace.$import	nested	union<array|string>	optional			N	N	Y
observability.trace.$import[*]	nested	string	n/a			N	N	Y
observability.trace.enabled	nested	boolean	optional	false		N	N	Y
observability.viz	nested	object	optional			N	N	Y
observability.viz.$import	nested	union<array|string>	optional			N	N	Y
observability.viz.$import[*]	nested	string	n/a			N	N	Y
observability.viz.append	nested	boolean	optional	false		N	N	Y
observability.viz.enabled	nested	boolean	optional	false		N	N	Y
observability.viz.env	nested	string	optional			N	N	Y
observability.viz.output_dir	nested	string	optional			N	N	Y
observability.viz.output_path	nested	string	optional			N	N	Y
observability.viz.payload_policy	nested	enum<string>	optional	"summary"	enum=none,summary,sample,full	N	N	Y
observability.viz.run_name	nested	string	optional			N	N	Y
observability.viz.sample_size	nested	integer	optional	5	minimum=0	N	N	Y
observability.viz.snapshot_path	nested	string	optional			N	N	Y
observability.viz.trace_enabled	nested	boolean	optional	false		N	N	Y
observability.viz.use_default_output_dir	nested	boolean	optional	false		N	N	Y
outputs	top-level	array	optional		minItems=0	Y	N	N
outputs[*]	nested	object	n/a			Y	N	N
outputs[*].$import	nested	union<array|string>	conditional			Y	N	N
outputs[*].$import[*]	nested	string	n/a			Y	N	N
outputs[*].aggregate	nested	object	optional			Y	N	N
outputs[*].aggregate.$import	nested	union<array|string>	conditional			Y	N	N
outputs[*].aggregate.$import[*]	nested	string	n/a			Y	N	N
outputs[*].aggregate.distinct_on_overflow	nested	enum<string>	optional	"error"	enum=error,truncate	Y	N	N
outputs[*].aggregate.fields	nested	object	conditional		minProperties=1	Y	N	N
outputs[*].aggregate.fields.<field_id>	nested	object	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.call_by	nested	string	required		minLength=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.compute	nested	string	required		minLength=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.count	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.count.field	nested	union<object|string>	optional			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_distinct	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.count_distinct.field	nested	union<object|string>	conditional			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_distinct.fields	nested	array	conditional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.count_distinct.fields[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_distinct.fields[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_true	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.count_true.field	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_true_gte	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.count_true_gte.field	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.count_true_gte.threshold	nested	unknown	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.by	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.order	nested	enum<string>	optional	"desc"	enum=asc,desc	Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.order_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.order_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.order_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.partition_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.partition_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.partition_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.top_k	nested	integer	optional	0	minimum=0	Y	N	N
outputs[*].aggregate.fields.<field_id>.dense_rank.top_k_mode	nested	enum<string>	optional	"rank"	enum=rank,rows	Y	N	N
outputs[*].aggregate.fields.<field_id>.max	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.max.field	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.min	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.min.field	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.name	nested	string	optional		minLength=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.by	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.order	nested	enum<string>	optional	"desc"	enum=asc,desc	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.order_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.order_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.order_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.partition_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.partition_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.partition_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.top_k	nested	integer	optional	0	minimum=0	Y	N	N
outputs[*].aggregate.fields.<field_id>.rank.top_k_mode	nested	enum<string>	optional	"rank"	enum=rank,rows	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.by	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.order	nested	enum<string>	optional	"desc"	enum=asc,desc	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.order_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.order_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.order_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.partition_by	nested	array	optional		minItems=1	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.partition_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.partition_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.top_k	nested	integer	optional	0	minimum=0	Y	N	N
outputs[*].aggregate.fields.<field_id>.row_number.top_k_mode	nested	enum<string>	optional	"rank"	enum=rank,rows	Y	N	N
outputs[*].aggregate.fields.<field_id>.score_by_rank	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.score_by_rank.base	nested	unknown	optional			Y	N	N
outputs[*].aggregate.fields.<field_id>.score_by_rank.rank_field	nested	union<object|string>	optional			Y	N	N
outputs[*].aggregate.fields.<field_id>.score_by_rank.step	nested	unknown	optional			Y	N	N
outputs[*].aggregate.fields.<field_id>.sum	nested	object	required		additionalProperties=false	Y	N	N
outputs[*].aggregate.fields.<field_id>.sum.field	nested	union<object|string>	required			Y	N	N
outputs[*].aggregate.group_by	nested	array	conditional		minItems=1	Y	N	N
outputs[*].aggregate.group_by[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].aggregate.group_by[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].aggregate.max_distinct	nested	integer	optional	0	minimum=0	Y	N	N
outputs[*].aggregate.max_groups	nested	integer	optional	0	minimum=0	Y	N	N
outputs[*].fields	nested	array	optional		minItems=1	Y	N	N
outputs[*].fields[*]	nested	union<array|object|string>	n/a			Y	N	N
outputs[*].fields[*][*]	nested	union<object|string>	n/a			Y	N	N
outputs[*].from	nested	string	optional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
outputs[*].name	nested	string	conditional		pattern=^[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
outputs[*].to	nested	object	optional			Y	N	N
outputs[*].to.$import	nested	union<array|string>	optional			Y	N	N
outputs[*].to.$import[*]	nested	string	n/a			Y	N	N
outputs[*].to.book	nested	string	optional		minLength=1	Y	N	N
outputs[*].to.file	nested	string	optional		minLength=1	Y	N	N
outputs[*].to.sheet	nested	string	optional		minLength=1	Y	N	N
outputs[*].where	nested	string	optional			Y	N	N
outputs[*].write	nested	object	optional			Y	Y	N
outputs[*].write.$import	nested	union<array|string>	optional			Y	Y	N
outputs[*].write.$import[*]	nested	string	n/a			Y	Y	N
outputs[*].write.align_by	nested	enum<string>	optional		enum=field_id,header	Y	Y	N
outputs[*].write.header_fields_output_by	nested	enum<string>	optional	"name"	enum=field_id,name	Y	Y	N
outputs[*].write.header_policy	nested	enum<string>	optional		enum=once,always,never	Y	Y	N
outputs[*].write.include_header	nested	boolean	optional	true		Y	Y	N
outputs[*].write.mode	nested	enum<string>	optional		enum=sheet,append	Y	Y	N
outputs[*].write.on_conflict	nested	enum<string>	optional		enum=error,overwrite,skip	Y	Y	N
outputs[*].write.on_mismatch	nested	enum<string>	optional		enum=error,warn,skip	Y	Y	N
relations	top-level	object	optional			Y	N	N
relations.$import	nested	union<array|string>	optional			Y	N	N
relations.$import[*]	nested	string	n/a			Y	N	N
relations.<relation_id>	nested	object	n/a			Y	N	N
relations.<relation_id>.$import	nested	union<array|string>	conditional			Y	N	N
relations.<relation_id>.$import[*]	nested	string	n/a			Y	N	N
relations.<relation_id>.steps	nested	array	conditional		minItems=1	Y	N	N
relations.<relation_id>.steps[*]	nested	object	n/a		additionalProperties=false	Y	N	N
relations.<relation_id>.steps[*].from	nested	union<array|string>	required			Y	N	N
relations.<relation_id>.steps[*].from[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
relations.<relation_id>.steps[*].lookup_cast	nested	object	optional		additionalProperties=false	Y	N	N
relations.<relation_id>.steps[*].lookup_cast.name	nested	enum<string>	required		enum=auto,int,str,sep_first	Y	N	N
relations.<relation_id>.steps[*].lookup_cast.sep	nested	string	optional			Y	N	N
relations.<relation_id>.steps[*].to	nested	union<array|string>	required			Y	N	N
relations.<relation_id>.steps[*].to[*]	nested	string	n/a		pattern=^[a-zA-Z_][a-zA-Z0-9_]*\.[a-zA-Z_][a-zA-Z0-9_]*$	Y	N	N
resources	top-level	object	optional			Y	N	N
resources.$import	nested	union<array|string>	optional			Y	N	N
resources.$import[*]	nested	string	n/a			Y	N	N
resources.books	nested	object	optional		minProperties=0	Y	N	N
resources.books.$import	nested	union<array|string>	optional			Y	N	N
resources.books.$import[*]	nested	string	n/a			Y	N	N
resources.books.<book_id>	nested	object	n/a			Y	N	N
resources.books.<book_id>.$import	nested	union<array|string>	conditional			Y	N	N
resources.books.<book_id>.$import[*]	nested	string	n/a			Y	N	N
resources.books.<book_id>.allow_formulas	nested	unknown	optional			Y	N	N
resources.books.<book_id>.budget	nested	unknown	optional			Y	Y	N
resources.books.<book_id>.budget.$import	nested	union<array|string>	conditional			Y	Y	N
resources.books.<book_id>.budget.$import[*]	nested	string	n/a			Y	Y	N
resources.books.<book_id>.budget.max_sheets	nested	integer	conditional		minimum=1	Y	Y	N
resources.books.<book_id>.budget.max_total_cells	nested	integer	conditional		minimum=1	Y	Y	N
resources.books.<book_id>.export_xlsx	nested	unknown	optional			Y	Y	N
resources.books.<book_id>.export_xlsx.$import	nested	union<array|string>	conditional			Y	Y	N
resources.books.<book_id>.export_xlsx.$import[*]	nested	string	n/a			Y	Y	N
resources.books.<book_id>.export_xlsx.allow_formulas	nested	boolean	optional	false		Y	Y	N
resources.books.<book_id>.export_xlsx.path	nested	union<object|string>	conditional			Y	Y	N
resources.books.<book_id>.export_xlsx.path.$init_var	nested	string	required		minLength=1	Y	Y	N
resources.books.<book_id>.export_xlsx.write_lock	nested	boolean	optional	false		Y	Y	N
resources.books.<book_id>.kind	nested	unknown	optional			Y	N	N
resources.books.<book_id>.path	nested	unknown	optional			Y	Y	N
resources.books.<book_id>.path.$init_var	nested	string	required		minLength=1	Y	Y	N
resources.books.<book_id>.write_defaults	nested	object	optional			Y	Y	N
resources.books.<book_id>.write_defaults.$import	nested	union<array|string>	optional			Y	Y	N
resources.books.<book_id>.write_defaults.$import[*]	nested	string	n/a			Y	Y	N
resources.books.<book_id>.write_defaults.align_by	nested	enum<string>	optional	"field_id"	enum=field_id,header	Y	Y	N
resources.books.<book_id>.write_defaults.header_policy	nested	enum<string>	optional	"once"	enum=once,always,never	Y	Y	N
resources.books.<book_id>.write_defaults.mode	nested	enum<string>	optional	"append"	enum=sheet,append	Y	Y	N
resources.books.<book_id>.write_defaults.on_conflict	nested	enum<string>	optional	"error"	enum=error,overwrite,skip	Y	Y	N
resources.books.<book_id>.write_defaults.on_mismatch	nested	enum<string>	optional	"error"	enum=error,warn,skip	Y	Y	N
resources.books.<book_id>.write_lock	nested	unknown	optional			Y	N	N
resources.files	nested	object	optional		minProperties=0	Y	N	N
resources.files.$import	nested	union<array|string>	optional			Y	N	N
resources.files.$import[*]	nested	string	n/a			Y	N	N
resources.files.<file_id>	nested	object	n/a			Y	N	N
resources.files.<file_id>.$import	nested	union<array|string>	conditional			Y	N	N
resources.files.<file_id>.$import[*]	nested	string	n/a			Y	N	N
resources.files.<file_id>.encoding	nested	string	optional	"utf-8"		Y	N	N
resources.files.<file_id>.kind	nested	enum<string>	conditional		enum=csv_file	Y	N	N
resources.files.<file_id>.path	nested	union<object|string>	conditional			Y	Y	N
resources.files.<file_id>.path.$init_var	nested	string	required		minLength=1	Y	Y	N
retry	top-level	object	optional			N	Y	N
retry.$import	nested	union<array|string>	optional			N	Y	N
retry.$import[*]	nested	string	n/a			N	Y	N
retry.backoff	nested	enum<string>	optional	"exponential"	enum=fixed,exponential	N	Y	N
retry.base_delay_seconds	nested	unknown	optional	0.2	minimum=0.0	N	Y	N
retry.enabled	nested	boolean	optional	false		N	Y	N
retry.jitter	nested	boolean	optional	true		N	Y	N
retry.max_attempts	nested	integer	optional	3	minimum=1;maximum=5	N	Y	N
retry.max_delay_seconds	nested	unknown	optional	2.0	minimum=0.0;maximum=5.0	N	Y	N
retry.max_elapsed_seconds	nested	unknown	optional	10.0	minimum=1e-06;maximum=20.0	N	Y	N
retry.should_retry	nested	string	optional		minLength=1	N	Y	N
sources	top-level	object	optional		minProperties=0	Y	N	N
sources.$import	nested	union<array|string>	optional			Y	N	N
sources.$import[*]	nested	string	n/a			Y	N	N
sources.<source_id>	nested	object	n/a			Y	N	N
sources.<source_id>.$import	nested	union<array|string>	conditional			Y	N	N
sources.<source_id>.$import[*]	nested	string	n/a			Y	N	N
sources.<source_id>.cache_mode	nested	enum<string>	optional	"none"	enum=none,preload_forever	Y	N	N
sources.<source_id>.fields	nested	object	optional		minProperties=0	Y	N	N
sources.<source_id>.fields.$import	nested	union<array|string>	optional			Y	N	N
sources.<source_id>.fields.$import[*]	nested	string	n/a			Y	N	N
sources.<source_id>.fields.<field_id>	nested	object	n/a			Y	N	N
sources.<source_id>.fields.<field_id>.$import	nested	union<array|string>	optional			Y	N	N
